Segments,VariableName,VariableCount
Well-heeled Affluents,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,27000
Prosperous Acheivers,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,40108
Young Affluent Mobiles,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,43882
Upscale Matures,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,20814
Elite Households,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,22398
Young Upscale Families,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,65084
Elder Midscale Class,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,48603
Comfortable Retirees,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,4204
Mass Markets,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,96577
Young Urban Masses,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,41059
Diverse Workers,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,65289
Modest Families,Internet Yellow Pages- Electronic Equipment- Supplies & Service- 1yr ,23857
Well-heeled Affluents,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,26809
Prosperous Acheivers,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,42325
Young Affluent Mobiles,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,45571
Upscale Matures,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,21763
Elite Households,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,43373
Young Upscale Families,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,81549
Elder Midscale Class,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,28676
Comfortable Retirees,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,6628
Mass Markets,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,62089
Young Urban Masses,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,29853
Diverse Workers,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,46112
Modest Families,Internet Yellow Pages- Home Improvement & Repairs- 1yr ,14283
Well-heeled Affluents,IPA $1 million-$2 million,473362
Prosperous Acheivers,IPA $1 million-$2 million,544477
Young Affluent Mobiles,IPA $1 million-$2 million,475265
Upscale Matures,IPA $1 million-$2 million,238146
Elite Households,IPA $1 million-$2 million,305084
Young Upscale Families,IPA $1 million-$2 million,0
Elder Midscale Class,IPA $1 million-$2 million,18056
Comfortable Retirees,IPA $1 million-$2 million,797
Mass Markets,IPA $1 million-$2 million,0
Young Urban Masses,IPA $1 million-$2 million,0
Diverse Workers,IPA $1 million-$2 million,0
Modest Families,IPA $1 million-$2 million,0
Well-heeled Affluents,IPA $100K-$249K,0
Prosperous Acheivers,IPA $100K-$249K,1086671
Young Affluent Mobiles,IPA $100K-$249K,471794
Upscale Matures,IPA $100K-$249K,1133938
Elite Households,IPA $100K-$249K,1548079
Young Upscale Families,IPA $100K-$249K,2133126
Elder Midscale Class,IPA $100K-$249K,539793
Comfortable Retirees,IPA $100K-$249K,91327
Mass Markets,IPA $100K-$249K,123992
Young Urban Masses,IPA $100K-$249K,58152
Diverse Workers,IPA $100K-$249K,0
Modest Families,IPA $100K-$249K,0
Well-heeled Affluents,IPA $2 million+,1416776
Prosperous Acheivers,IPA $2 million+,40351
Young Affluent Mobiles,IPA $2 million+,33720
Upscale Matures,IPA $2 million+,18585
Elite Households,IPA $2 million+,24959
Young Upscale Families,IPA $2 million+,0
Elder Midscale Class,IPA $2 million+,0
Comfortable Retirees,IPA $2 million+,0
Mass Markets,IPA $2 million+,0
Young Urban Masses,IPA $2 million+,0
Diverse Workers,IPA $2 million+,0
Modest Families,IPA $2 million+,0
Well-heeled Affluents,IPA $250K-$499K,100885
Prosperous Acheivers,IPA $250K-$499K,1006733
Young Affluent Mobiles,IPA $250K-$499K,150014
Upscale Matures,IPA $250K-$499K,819330
Elite Households,IPA $250K-$499K,1311004
Young Upscale Families,IPA $250K-$499K,844320
Elder Midscale Class,IPA $250K-$499K,132497
Comfortable Retirees,IPA $250K-$499K,24425
Mass Markets,IPA $250K-$499K,0
Young Urban Masses,IPA $250K-$499K,0
Diverse Workers,IPA $250K-$499K,0
Modest Families,IPA $250K-$499K,0
Well-heeled Affluents,IPA $25K-$49K,0
Prosperous Acheivers,IPA $25K-$49K,33186
Young Affluent Mobiles,IPA $25K-$49K,1234044
Upscale Matures,IPA $25K-$49K,89737
Elite Households,IPA $25K-$49K,0
Young Upscale Families,IPA $25K-$49K,1100327
Elder Midscale Class,IPA $25K-$49K,1285368
Comfortable Retirees,IPA $25K-$49K,135665
Mass Markets,IPA $25K-$49K,618639
Young Urban Masses,IPA $25K-$49K,587623
Diverse Workers,IPA $25K-$49K,0
Modest Families,IPA $25K-$49K,0
Well-heeled Affluents,IPA $500K-$749K,322035
Prosperous Acheivers,IPA $500K-$749K,460072
Young Affluent Mobiles,IPA $500K-$749K,495709
Upscale Matures,IPA $500K-$749K,247443
Elite Households,IPA $500K-$749K,287559
Young Upscale Families,IPA $500K-$749K,0
Elder Midscale Class,IPA $500K-$749K,45936
Comfortable Retirees,IPA $500K-$749K,797
Mass Markets,IPA $500K-$749K,0
Young Urban Masses,IPA $500K-$749K,0
Diverse Workers,IPA $500K-$749K,0
Modest Families,IPA $500K-$749K,0
Well-heeled Affluents,IPA $50K-$74K,0
Prosperous Acheivers,IPA $50K-$74K,22567
Young Affluent Mobiles,IPA $50K-$74K,844821
Upscale Matures,IPA $50K-$74K,70887
Elite Households,IPA $50K-$74K,0
Young Upscale Families,IPA $50K-$74K,858932
Elder Midscale Class,IPA $50K-$74K,714232
Comfortable Retirees,IPA $50K-$74K,79380
Mass Markets,IPA $50K-$74K,340382
Young Urban Masses,IPA $50K-$74K,244290
Diverse Workers,IPA $50K-$74K,0
Modest Families,IPA $50K-$74K,0
Well-heeled Affluents,IPA $750K-$999K,256460
Prosperous Acheivers,IPA $750K-$999K,342463
Young Affluent Mobiles,IPA $750K-$999K,326048
Upscale Matures,IPA $750K-$999K,199917
Elite Households,IPA $750K-$999K,174447
Young Upscale Families,IPA $750K-$999K,0
Elder Midscale Class,IPA $750K-$999K,23898
Comfortable Retirees,IPA $750K-$999K,2124
Mass Markets,IPA $750K-$999K,0
Young Urban Masses,IPA $750K-$999K,0
Diverse Workers,IPA $750K-$999K,0
Modest Families,IPA $750K-$999K,0
Well-heeled Affluents,IPA $75K-$99K,0
Prosperous Acheivers,IPA $75K-$99K,13806
Young Affluent Mobiles,IPA $75K-$99K,646228
Upscale Matures,IPA $75K-$99K,58409
Elite Households,IPA $75K-$99K,0
Young Upscale Families,IPA $75K-$99K,636694
Elder Midscale Class,IPA $75K-$99K,551733
Comfortable Retirees,IPA $75K-$99K,44867
Mass Markets,IPA $75K-$99K,226477
Young Urban Masses,IPA $75K-$99K,125863
Diverse Workers,IPA $75K-$99K,0
Modest Families,IPA $75K-$99K,0
Well-heeled Affluents,IPA < $25K,0
Prosperous Acheivers,IPA < $25K,0
Young Affluent Mobiles,IPA < $25K,727469
Upscale Matures,IPA < $25K,0
Elite Households,IPA < $25K,0
Young Upscale Families,IPA < $25K,693811
Elder Midscale Class,IPA < $25K,1683381
Comfortable Retirees,IPA < $25K,2980801
Mass Markets,IPA < $25K,7249103
Young Urban Masses,IPA < $25K,5390508
Diverse Workers,IPA < $25K,9128347
Modest Families,IPA < $25K,3781456
Well-heeled Affluents,Length of Residence: 1-4 Years ,306464
Prosperous Acheivers,Length of Residence: 1-4 Years ,360940
Young Affluent Mobiles,Length of Residence: 1-4 Years ,2216176
Upscale Matures,Length of Residence: 1-4 Years ,213417
Elite Households,Length of Residence: 1-4 Years ,1001260
Young Upscale Families,Length of Residence: 1-4 Years ,1401731
Elder Midscale Class,Length of Residence: 1-4 Years ,712021
Comfortable Retirees,Length of Residence: 1-4 Years ,389414
Mass Markets,Length of Residence: 1-4 Years ,2790390
Young Urban Masses,Length of Residence: 1-4 Years ,2614529
Diverse Workers,Length of Residence: 1-4 Years ,2409857
Modest Families,Length of Residence: 1-4 Years ,1519778
Well-heeled Affluents,Length of Residence: 5 Years or More ,2132773
Prosperous Acheivers,Length of Residence: 5 Years or More ,3075277
Young Affluent Mobiles,Length of Residence: 5 Years or More ,2001461
Upscale Matures,Length of Residence: 5 Years or More ,2581076
Elite Households,Length of Residence: 5 Years or More ,2177113
Young Upscale Families,Length of Residence: 5 Years or More ,4315946
Elder Midscale Class,Length of Residence: 5 Years or More ,4045973
Comfortable Retirees,Length of Residence: 5 Years or More ,2864102
Mass Markets,Length of Residence: 5 Years or More ,4456732
Young Urban Masses,Length of Residence: 5 Years or More ,1473941
Diverse Workers,Length of Residence: 5 Years or More ,5300114
Modest Families,Length of Residence: 5 Years or More ,748095
Well-heeled Affluents,Length of Residence: Less than 1 Year ,130279
Prosperous Acheivers,Length of Residence: Less than 1 Year ,115347
Young Affluent Mobiles,Length of Residence: Less than 1 Year ,1184991
Upscale Matures,Length of Residence: Less than 1 Year ,80656
Elite Households,Length of Residence: Less than 1 Year ,471519
Young Upscale Families,Length of Residence: Less than 1 Year ,550773
Elder Midscale Class,Length of Residence: Less than 1 Year ,236899
Comfortable Retirees,Length of Residence: Less than 1 Year ,106665
Mass Markets,Length of Residence: Less than 1 Year ,1310231
Young Urban Masses,Length of Residence: Less than 1 Year ,2319207
Diverse Workers,Length of Residence: Less than 1 Year ,1420858
Modest Families,Length of Residence: Less than 1 Year ,1514825
Well-heeled Affluents,Like to Shop Around Before Making a Purchase- Agree ,980843
Prosperous Acheivers,Like to Shop Around Before Making a Purchase- Agree ,1388969
Young Affluent Mobiles,Like to Shop Around Before Making a Purchase- Agree ,2073143
Upscale Matures,Like to Shop Around Before Making a Purchase- Agree ,1099516
Elite Households,Like to Shop Around Before Making a Purchase- Agree ,1493102
Young Upscale Families,Like to Shop Around Before Making a Purchase- Agree ,2481384
Elder Midscale Class,Like to Shop Around Before Making a Purchase- Agree ,1959164
Comfortable Retirees,Like to Shop Around Before Making a Purchase- Agree ,1216892
Mass Markets,Like to Shop Around Before Making a Purchase- Agree ,3325965
Young Urban Masses,Like to Shop Around Before Making a Purchase- Agree ,2368865
Diverse Workers,Like to Shop Around Before Making a Purchase- Agree ,3346422
Modest Families,Like to Shop Around Before Making a Purchase- Agree ,1354983
Well-heeled Affluents,Magazine Ads Are Alike- Agree ,279095
Prosperous Acheivers,Magazine Ads Are Alike- Agree ,391178
Young Affluent Mobiles,Magazine Ads Are Alike- Agree ,686820
Upscale Matures,Magazine Ads Are Alike- Agree ,295471
Elite Households,Magazine Ads Are Alike- Agree ,464678
Young Upscale Families,Magazine Ads Are Alike- Agree ,789373
Elder Midscale Class,Magazine Ads Are Alike- Agree ,598985
Comfortable Retirees,Magazine Ads Are Alike- Agree ,406903
Mass Markets,Magazine Ads Are Alike- Agree ,1135157
Young Urban Masses,Magazine Ads Are Alike- Agree ,905130
Diverse Workers,Magazine Ads Are Alike- Agree ,1147307
Modest Families,Magazine Ads Are Alike- Agree ,547576
Well-heeled Affluents,Magazine Ads Are Repeated too Often- Agree ,354331
Prosperous Acheivers,Magazine Ads Are Repeated too Often- Agree ,534009
Young Affluent Mobiles,Magazine Ads Are Repeated too Often- Agree ,798981
Upscale Matures,Magazine Ads Are Repeated too Often- Agree ,387466
Elite Households,Magazine Ads Are Repeated too Often- Agree ,515522
Young Upscale Families,Magazine Ads Are Repeated too Often- Agree ,898373
Elder Midscale Class,Magazine Ads Are Repeated too Often- Agree ,760288
Comfortable Retirees,Magazine Ads Are Repeated too Often- Agree ,496255
Mass Markets,Magazine Ads Are Repeated too Often- Agree ,1279030
Young Urban Masses,Magazine Ads Are Repeated too Often- Agree ,1010090
Diverse Workers,Magazine Ads Are Repeated too Often- Agree ,1341887
Modest Families,Magazine Ads Are Repeated too Often- Agree ,644962
Well-heeled Affluents,Magazine Ads Give Good Info on Consumer Product Use- Agree ,479927
Prosperous Acheivers,Magazine Ads Give Good Info on Consumer Product Use- Agree ,643904
Young Affluent Mobiles,Magazine Ads Give Good Info on Consumer Product Use- Agree ,937564
Upscale Matures,Magazine Ads Give Good Info on Consumer Product Use- Agree ,511279
Elite Households,Magazine Ads Give Good Info on Consumer Product Use- Agree ,649420
Young Upscale Families,Magazine Ads Give Good Info on Consumer Product Use- Agree ,1199459
Elder Midscale Class,Magazine Ads Give Good Info on Consumer Product Use- Agree ,988718
Comfortable Retirees,Magazine Ads Give Good Info on Consumer Product Use- Agree ,678193
Mass Markets,Magazine Ads Give Good Info on Consumer Product Use- Agree ,1615521
Young Urban Masses,Magazine Ads Give Good Info on Consumer Product Use- Agree ,1170411
Diverse Workers,Magazine Ads Give Good Info on Consumer Product Use- Agree ,1766118
Modest Families,Magazine Ads Give Good Info on Consumer Product Use- Agree ,786736
Well-heeled Affluents,Magazine Ads Give Good Info on New Products/Services- Agree ,607695
Prosperous Acheivers,Magazine Ads Give Good Info on New Products/Services- Agree ,873340
Young Affluent Mobiles,Magazine Ads Give Good Info on New Products/Services- Agree ,1136161
Upscale Matures,Magazine Ads Give Good Info on New Products/Services- Agree ,675121
Elite Households,Magazine Ads Give Good Info on New Products/Services- Agree ,843704
Young Upscale Families,Magazine Ads Give Good Info on New Products/Services- Agree ,1430097
Elder Midscale Class,Magazine Ads Give Good Info on New Products/Services- Agree ,1228430
Comfortable Retirees,Magazine Ads Give Good Info on New Products/Services- Agree ,824888
Mass Markets,Magazine Ads Give Good Info on New Products/Services- Agree ,1898526
Young Urban Masses,Magazine Ads Give Good Info on New Products/Services- Agree ,1352340
Diverse Workers,Magazine Ads Give Good Info on New Products/Services- Agree ,2019537
Modest Families,Magazine Ads Give Good Info on New Products/Services- Agree ,822411
Well-heeled Affluents,Magazine Ads Give Useful Information on Bargains- Agree ,490266
Prosperous Acheivers,Magazine Ads Give Useful Information on Bargains- Agree ,675712
Young Affluent Mobiles,Magazine Ads Give Useful Information on Bargains- Agree ,870017
Upscale Matures,Magazine Ads Give Useful Information on Bargains- Agree ,556679
Elite Households,Magazine Ads Give Useful Information on Bargains- Agree ,639527
Young Upscale Families,Magazine Ads Give Useful Information on Bargains- Agree ,1187102
Elder Midscale Class,Magazine Ads Give Useful Information on Bargains- Agree ,978232
Comfortable Retirees,Magazine Ads Give Useful Information on Bargains- Agree ,687883
Mass Markets,Magazine Ads Give Useful Information on Bargains- Agree ,1632382
Young Urban Masses,Magazine Ads Give Useful Information on Bargains- Agree ,1175045
Diverse Workers,Magazine Ads Give Useful Information on Bargains- Agree ,1819895
Modest Families,Magazine Ads Give Useful Information on Bargains- Agree ,778702
Well-heeled Affluents,Magazine Ads Have No Credibility- Agree ,222177
Prosperous Acheivers,Magazine Ads Have No Credibility- Agree ,333958
Young Affluent Mobiles,Magazine Ads Have No Credibility- Agree ,530368
Upscale Matures,Magazine Ads Have No Credibility- Agree ,271158
Elite Households,Magazine Ads Have No Credibility- Agree ,358329
Young Upscale Families,Magazine Ads Have No Credibility- Agree ,618089
Elder Midscale Class,Magazine Ads Have No Credibility- Agree ,487708
Comfortable Retirees,Magazine Ads Have No Credibility- Agree ,332561
Mass Markets,Magazine Ads Have No Credibility- Agree ,951691
Young Urban Masses,Magazine Ads Have No Credibility- Agree ,761082
Diverse Workers,Magazine Ads Have No Credibility- Agree ,973639
Modest Families,Magazine Ads Have No Credibility- Agree ,484723
Well-heeled Affluents,Make Any Home Improvement- 1yr ,998775
Prosperous Acheivers,Make Any Home Improvement- 1yr ,1412989
Young Affluent Mobiles,Make Any Home Improvement- 1yr ,1702461
Upscale Matures,Make Any Home Improvement- 1yr ,1063430
Elite Households,Make Any Home Improvement- 1yr ,1420480
Young Upscale Families,Make Any Home Improvement- 1yr ,2337134
Elder Midscale Class,Make Any Home Improvement- 1yr ,1440412
Comfortable Retirees,Make Any Home Improvement- 1yr ,602862
Mass Markets,Make Any Home Improvement- 1yr ,2663803
Young Urban Masses,Make Any Home Improvement- 1yr ,842526
Diverse Workers,Make Any Home Improvement- 1yr ,1866352
Modest Families,Make Any Home Improvement- 1yr ,352341
Well-heeled Affluents,Make Home Improvements- $500+- 1yr ,380900
Prosperous Acheivers,Make Home Improvements- $500+- 1yr ,555809
Young Affluent Mobiles,Make Home Improvements- $500+- 1yr ,625408
Upscale Matures,Make Home Improvements- $500+- 1yr ,373518
Elite Households,Make Home Improvements- $500+- 1yr ,485077
Young Upscale Families,Make Home Improvements- $500+- 1yr ,729428
Elder Midscale Class,Make Home Improvements- $500+- 1yr ,380890
Comfortable Retirees,Make Home Improvements- $500+- 1yr ,93041
Mass Markets,Make Home Improvements- $500+- 1yr ,559538
Young Urban Masses,Make Home Improvements- $500+- 1yr ,153855
Diverse Workers,Make Home Improvements- $500+- 1yr ,285411
Modest Families,Make Home Improvements- $500+- 1yr ,34738
Well-heeled Affluents,Make Home Improvements- <$500- 1yr ,455342
Prosperous Acheivers,Make Home Improvements- <$500- 1yr ,615286
Young Affluent Mobiles,Make Home Improvements- <$500- 1yr ,835077
Upscale Matures,Make Home Improvements- <$500- 1yr ,492604
Elite Households,Make Home Improvements- <$500- 1yr ,719535
Young Upscale Families,Make Home Improvements- <$500- 1yr ,1218173
Elder Midscale Class,Make Home Improvements- <$500- 1yr ,758043
Comfortable Retirees,Make Home Improvements- <$500- 1yr ,285310
Mass Markets,Make Home Improvements- <$500- 1yr ,1584404
Young Urban Masses,Make Home Improvements- <$500- 1yr ,445464
Diverse Workers,Make Home Improvements- <$500- 1yr ,1129243
Modest Families,Make Home Improvements- <$500- 1yr ,168728
Well-heeled Affluents,Media Trusted the Most- Internet ,457049
Prosperous Acheivers,Media Trusted the Most- Internet ,499508
Young Affluent Mobiles,Media Trusted the Most- Internet ,1181905
Upscale Matures,Media Trusted the Most- Internet ,300271
Elite Households,Media Trusted the Most- Internet ,793416
Young Upscale Families,Media Trusted the Most- Internet ,1137472
Elder Midscale Class,Media Trusted the Most- Internet ,436173
Comfortable Retirees,Media Trusted the Most- Internet ,220009
Mass Markets,Media Trusted the Most- Internet ,1543613
Young Urban Masses,Media Trusted the Most- Internet ,1324894
Diverse Workers,Media Trusted the Most- Internet ,1139415
Modest Families,Media Trusted the Most- Internet ,631676
Well-heeled Affluents,Media Trusted the Most- Magazines ,85342
Prosperous Acheivers,Media Trusted the Most- Magazines ,140621
Young Affluent Mobiles,Media Trusted the Most- Magazines ,158654
Upscale Matures,Media Trusted the Most- Magazines ,105414
Elite Households,Media Trusted the Most- Magazines ,112045
Young Upscale Families,Media Trusted the Most- Magazines ,209360
Elder Midscale Class,Media Trusted the Most- Magazines ,212026
Comfortable Retirees,Media Trusted the Most- Magazines ,97417
Mass Markets,Media Trusted the Most- Magazines ,223114
Young Urban Masses,Media Trusted the Most- Magazines ,166519
Diverse Workers,Media Trusted the Most- Magazines ,228062
Modest Families,Media Trusted the Most- Magazines ,78414
Well-heeled Affluents,Media Trusted the Most- Newspapers ,314131
Prosperous Acheivers,Media Trusted the Most- Newspapers ,485806
Young Affluent Mobiles,Media Trusted the Most- Newspapers ,537613
Upscale Matures,Media Trusted the Most- Newspapers ,416756
Elite Households,Media Trusted the Most- Newspapers ,399059
Young Upscale Families,Media Trusted the Most- Newspapers ,691603
Elder Midscale Class,Media Trusted the Most- Newspapers ,718429
Comfortable Retirees,Media Trusted the Most- Newspapers ,427752
Mass Markets,Media Trusted the Most- Newspapers ,899587
Young Urban Masses,Media Trusted the Most- Newspapers ,609178
Diverse Workers,Media Trusted the Most- Newspapers ,991678
Modest Families,Media Trusted the Most- Newspapers ,432740
Well-heeled Affluents,Media Trusted the Most- Radio ,117029
Prosperous Acheivers,Media Trusted the Most- Radio ,171511
Young Affluent Mobiles,Media Trusted the Most- Radio ,197564
Upscale Matures,Media Trusted the Most- Radio ,114881
Elite Households,Media Trusted the Most- Radio ,178853
Young Upscale Families,Media Trusted the Most- Radio ,292387
Elder Midscale Class,Media Trusted the Most- Radio ,217237
Comfortable Retirees,Media Trusted the Most- Radio ,137664
Mass Markets,Media Trusted the Most- Radio ,401329
Young Urban Masses,Media Trusted the Most- Radio ,289365
Diverse Workers,Media Trusted the Most- Radio ,345074
Modest Families,Media Trusted the Most- Radio ,176063
Well-heeled Affluents,Media Trusted the Most- Television ,319404
Prosperous Acheivers,Media Trusted the Most- Television ,494847
Young Affluent Mobiles,Media Trusted the Most- Television ,623010
Upscale Matures,Media Trusted the Most- Television ,503135
Elite Households,Media Trusted the Most- Television ,427789
Young Upscale Families,Media Trusted the Most- Television ,889265
Elder Midscale Class,Media Trusted the Most- Television ,923925
Comfortable Retirees,Media Trusted the Most- Television ,816223
Mass Markets,Media Trusted the Most- Television ,1342293
Young Urban Masses,Media Trusted the Most- Television ,854710
Diverse Workers,Media Trusted the Most- Television ,1935427
Modest Families,Media Trusted the Most- Television ,614321
Well-heeled Affluents,Newspaper Ads Are Alike- Agree ,240448
Prosperous Acheivers,Newspaper Ads Are Alike- Agree ,347088
Young Affluent Mobiles,Newspaper Ads Are Alike- Agree ,626226
Upscale Matures,Newspaper Ads Are Alike- Agree ,290167
Elite Households,Newspaper Ads Are Alike- Agree ,378567
Young Upscale Families,Newspaper Ads Are Alike- Agree ,660173
Elder Midscale Class,Newspaper Ads Are Alike- Agree ,536456
Comfortable Retirees,Newspaper Ads Are Alike- Agree ,393192
Mass Markets,Newspaper Ads Are Alike- Agree ,1022214
Young Urban Masses,Newspaper Ads Are Alike- Agree ,791011
Diverse Workers,Newspaper Ads Are Alike- Agree ,1055745
Modest Families,Newspaper Ads Are Alike- Agree ,485932
Well-heeled Affluents,Newspaper Ads Are Amusing- Agree ,201422
Prosperous Acheivers,Newspaper Ads Are Amusing- Agree ,275357
Young Affluent Mobiles,Newspaper Ads Are Amusing- Agree ,425268
Upscale Matures,Newspaper Ads Are Amusing- Agree ,218222
Elite Households,Newspaper Ads Are Amusing- Agree ,255772
Young Upscale Families,Newspaper Ads Are Amusing- Agree ,545431
Elder Midscale Class,Newspaper Ads Are Amusing- Agree ,488624
Comfortable Retirees,Newspaper Ads Are Amusing- Agree ,389080
Mass Markets,Newspaper Ads Are Amusing- Agree ,871673
Young Urban Masses,Newspaper Ads Are Amusing- Agree ,681255
Diverse Workers,Newspaper Ads Are Amusing- Agree ,1178603
Modest Families,Newspaper Ads Are Amusing- Agree ,530958
Well-heeled Affluents,Newspaper Ads Are Repeated too Often- Agree ,271287
Prosperous Acheivers,Newspaper Ads Are Repeated too Often- Agree ,429758
Young Affluent Mobiles,Newspaper Ads Are Repeated too Often- Agree ,608869
Upscale Matures,Newspaper Ads Are Repeated too Often- Agree ,377521
Elite Households,Newspaper Ads Are Repeated too Often- Agree ,362373
Young Upscale Families,Newspaper Ads Are Repeated too Often- Agree ,677263
Elder Midscale Class,Newspaper Ads Are Repeated too Often- Agree ,652671
Comfortable Retirees,Newspaper Ads Are Repeated too Often- Agree ,451592
Mass Markets,Newspaper Ads Are Repeated too Often- Agree ,1035590
Young Urban Masses,Newspaper Ads Are Repeated too Often- Agree ,802652
Diverse Workers,Newspaper Ads Are Repeated too Often- Agree ,1193547
Modest Families,Newspaper Ads Are Repeated too Often- Agree ,521782
Well-heeled Affluents,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,463166
Prosperous Acheivers,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,699283
Young Affluent Mobiles,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,838066
Upscale Matures,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,653393
Elite Households,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,598378
Young Upscale Families,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,1203871
Elder Midscale Class,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,1171873
Comfortable Retirees,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,800429
Mass Markets,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,1591284
Young Urban Masses,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,1146807
Diverse Workers,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,1921645
Modest Families,Newspaper Ads Give Good Info on Consumer Products Use- Agree ,771681
Well-heeled Affluents,Newspaper Ads Give Good Info on New Products/Services- Agree ,559318
Prosperous Acheivers,Newspaper Ads Give Good Info on New Products/Services- Agree ,875150
Young Affluent Mobiles,Newspaper Ads Give Good Info on New Products/Services- Agree ,1024556
Upscale Matures,Newspaper Ads Give Good Info on New Products/Services- Agree ,804393
Elite Households,Newspaper Ads Give Good Info on New Products/Services- Agree ,750923
Young Upscale Families,Newspaper Ads Give Good Info on New Products/Services- Agree ,1445753
Elder Midscale Class,Newspaper Ads Give Good Info on New Products/Services- Agree ,1397221
Comfortable Retirees,Newspaper Ads Give Good Info on New Products/Services- Agree ,959337
Mass Markets,Newspaper Ads Give Good Info on New Products/Services- Agree ,1827729
Young Urban Masses,Newspaper Ads Give Good Info on New Products/Services- Agree ,1243655
Diverse Workers,Newspaper Ads Give Good Info on New Products/Services- Agree ,2133973
Modest Families,Newspaper Ads Give Good Info on New Products/Services- Agree ,788382
Well-heeled Affluents,Newspaper Ads Give Useful Info on Bargains- Agree ,738502
Prosperous Acheivers,Newspaper Ads Give Useful Info on Bargains- Agree ,1080286
Young Affluent Mobiles,Newspaper Ads Give Useful Info on Bargains- Agree ,1234297
Upscale Matures,Newspaper Ads Give Useful Info on Bargains- Agree ,1006992
Elite Households,Newspaper Ads Give Useful Info on Bargains- Agree ,931774
Young Upscale Families,Newspaper Ads Give Useful Info on Bargains- Agree ,1750734
Elder Midscale Class,Newspaper Ads Give Useful Info on Bargains- Agree ,1650199
Comfortable Retirees,Newspaper Ads Give Useful Info on Bargains- Agree ,1116819
Mass Markets,Newspaper Ads Give Useful Info on Bargains- Agree ,2174528
Young Urban Masses,Newspaper Ads Give Useful Info on Bargains- Agree ,1484502
Diverse Workers,Newspaper Ads Give Useful Info on Bargains- Agree ,2539130
Modest Families,Newspaper Ads Give Useful Info on Bargains- Agree ,940371
Well-heeled Affluents,Newspaper Ads Have No Credibility- Agree ,211666
Prosperous Acheivers,Newspaper Ads Have No Credibility- Agree ,298161
Young Affluent Mobiles,Newspaper Ads Have No Credibility- Agree ,480299
Upscale Matures,Newspaper Ads Have No Credibility- Agree ,249931
Elite Households,Newspaper Ads Have No Credibility- Agree ,283512
Young Upscale Families,Newspaper Ads Have No Credibility- Agree ,539426
Elder Midscale Class,Newspaper Ads Have No Credibility- Agree ,440255
Comfortable Retirees,Newspaper Ads Have No Credibility- Agree ,318197
Mass Markets,Newspaper Ads Have No Credibility- Agree ,856332
Young Urban Masses,Newspaper Ads Have No Credibility- Agree ,668189
Diverse Workers,Newspaper Ads Have No Credibility- Agree ,986263
Modest Families,Newspaper Ads Have No Credibility- Agree ,437449
Well-heeled Affluents,Number of Children 0-17 Living at Home: 1 ,353606
Prosperous Acheivers,Number of Children 0-17 Living at Home: 1 ,198453
Young Affluent Mobiles,Number of Children 0-17 Living at Home: 1 ,145154
Upscale Matures,Number of Children 0-17 Living at Home: 1 ,21093
Elite Households,Number of Children 0-17 Living at Home: 1 ,805137
Young Upscale Families,Number of Children 0-17 Living at Home: 1 ,1260286
Elder Midscale Class,Number of Children 0-17 Living at Home: 1 ,107908
Comfortable Retirees,Number of Children 0-17 Living at Home: 1 ,96755
Mass Markets,Number of Children 0-17 Living at Home: 1 ,1758165
Young Urban Masses,Number of Children 0-17 Living at Home: 1 ,982755
Diverse Workers,Number of Children 0-17 Living at Home: 1 ,1201175
Modest Families,Number of Children 0-17 Living at Home: 1 ,643895
Well-heeled Affluents,Number of Children 0-17 Living at Home: 2 ,251866
Prosperous Acheivers,Number of Children 0-17 Living at Home: 2 ,112875
